,airline_iata,airline_icao,flight_iata,flight_icao,flight_number,dep_iata,dep_icao,dep_terminal,dep_gate,dep_time,dep_time_utc,dep_estimated,dep_estimated_utc,dep_actual,dep_actual_utc,arr_iata,arr_icao,arr_terminal,arr_gate,arr_baggage,arr_time,arr_time_utc,arr_estimated,arr_estimated_utc,cs_airline_iata,cs_flight_number,cs_flight_iata,status,duration,delayed,dep_delayed,arr_delayed,aircraft_icao,arr_time_ts,dep_time_ts,arr_estimated_ts,dep_estimated_ts,dep_actual_ts,arr_actual,arr_actual_utc,arr_actual_ts
12,WS,WJA,WS6279,WJA6279,6279,MEX,MMMX,2,53,2023-10-04 18:50,2023-10-05 00:50,2023-10-04 19:22,2023-10-05 01:22,2023-10-04 19:22,2023-10-05 01:22,ZIH,MMZH,A,,,2023-10-04 19:59,2023-10-05 01:59,2023-10-04 20:33,2023-10-05 02:33,5D,2454,5D2454,landed,69.0,34,32.0,34.0,,1696471140.0,1696467000,1696473180.0,1696468920.0,1696468920.0,2023-10-04 20:33,2023-10-05 02:33,1696473180.0
13,VS,VIR,VS3408,VIR3408,3408,BOS,KBOS,A,A8,2023-10-04 19:59,2023-10-04 23:59,2023-10-04 21:22,2023-10-05 01:22,2023-10-04 21:22,2023-10-05 01:22,BNA,KBNA,,B8,,2023-10-04 21:57,2023-10-05 02:57,2023-10-04 23:00,2023-10-05 04:00,OO,3716,OO3716,active,178.0,63,83.0,63.0,,1696474620.0,1696463940,1696478400.0,1696468920.0,1696468920.0,,,
14,CA,CCA,CA2577,CCA2577,2577,TFU,ZUTF,T2,,2023-10-05 07:05,2023-10-04 23:05,2023-10-05 09:22,2023-10-05 01:22,2023-10-05 09:22,2023-10-05 01:22,JZH,ZUJZ,,,,2023-10-05 08:05,2023-10-05 00:05,2023-10-05 10:23,2023-10-05 02:23,,,,landed,60.0,138,137.0,138.0,,1696464300.0,1696460700,1696472580.0,1696468920.0,1696468920.0,2023-10-05 10:23,2023-10-05 02:23,1696472580.0
15,ZH,CSZ,ZH4056,CSZ4056,4056,TFU,ZUTF,T2,,2023-10-05 07:05,2023-10-04 23:05,2023-10-05 09:22,2023-10-05 01:22,2023-10-05 09:22,2023-10-05 01:22,JZH,ZUJZ,,,,2023-10-05 08:05,2023-10-05 00:05,2023-10-05 10:23,2023-10-05 02:23,CA,2577,CA2577,landed,60.0,138,137.0,138.0,,1696464300.0,1696460700,1696472580.0,1696468920.0,1696468920.0,2023-10-05 10:23,2023-10-05 02:23,1696472580.0
16,AS,ASA,AS6976,ASA6976,6976,AUS,KAUS,,28,2023-10-04 19:29,2023-10-05 00:29,2023-10-04 20:22,2023-10-05 01:22,2023-10-04 20:22,2023-10-05 01:22,IND,KIND,,B16,,2023-10-04 22:59,2023-10-05 02:59,2023-10-04 23:38,2023-10-05 03:38,MQ,3414,MQ3414,active,150.0,39,53.0,39.0,,1696474740.0,1696465740,1696477080.0,1696468920.0,1696468920.0,,,
17,KE,KAL,KE722,KAL722,722,KIX,RJBB,1,,2023-10-05 10:15,2023-10-05 01:15,2023-10-05 10:22,2023-10-05 01:22,2023-10-05 10:22,2023-10-05 01:22,ICN,RKSI,2,234,5,2023-10-05 12:05,2023-10-05 03:05,2023-10-05 12:37,2023-10-05 03:37,,,,active,110.0,32,7.0,32.0,B38M,1696475100.0,1696468500,1696477020.0,1696468920.0,1696468920.0,,,
18,JL,JAL,JL8202,JAL8202,8202,MEX,MMMX,2,53,2023-10-04 18:50,2023-10-05 00:50,2023-10-04 19:22,2023-10-05 01:22,2023-10-04 19:22,2023-10-05 01:22,ZIH,MMZH,A,,,2023-10-04 19:59,2023-10-05 01:59,2023-10-04 20:33,2023-10-05 02:33,5D,2454,5D2454,landed,69.0,34,32.0,34.0,,1696471140.0,1696467000,1696473180.0,1696468920.0,1696468920.0,2023-10-04 20:33,2023-10-05 02:33,1696473180.0
19,WN,SWA,WN1972,SWA1972,1972,DAL,KDAL,,2,2023-10-04 18:05,2023-10-04 23:05,2023-10-04 20:22,2023-10-05 01:22,2023-10-04 20:22,2023-10-05 01:22,PHX,KPHX,4,D3,8,2023-10-04 18:35,2023-10-05 01:35,2023-10-04 22:29,2023-10-05 05:29,,,,active,150.0,234,137.0,234.0,B738,1696469700.0,1696460700,1696483740.0,1696468920.0,1696468920.0,,,
20,DL,DAL,DL9021,DAL9021,9021,KIX,RJBB,1,,2023-10-05 10:15,2023-10-05 01:15,2023-10-05 10:22,2023-10-05 01:22,2023-10-05 10:22,2023-10-05 01:22,ICN,RKSI,2,234,5,2023-10-05 12:05,2023-10-05 03:05,2023-10-05 12:37,2023-10-05 03:37,KE,722,KE722,active,110.0,32,7.0,32.0,,1696475100.0,1696468500,1696477020.0,1696468920.0,1696468920.0,,,
21,MQ,ENY,MQ3414,ENY3414,3414,AUS,KAUS,,28,2023-10-04 19:29,2023-10-05 00:29,2023-10-04 20:22,2023-10-05 01:22,2023-10-04 20:22,2023-10-05 01:22,IND,KIND,,B16,,2023-10-04 22:59,2023-10-05 02:59,2023-10-04 23:38,2023-10-05 03:38,,,,active,150.0,39,53.0,39.0,E75L,1696474740.0,1696465740,1696477080.0,1696468920.0,1696468920.0,,,
22,DL,DAL,DL3716,DAL3716,3716,BOS,KBOS,A,A8,2023-10-04 19:59,2023-10-04 23:59,2023-10-04 21:22,2023-10-05 01:22,2023-10-04 21:22,2023-10-05 01:22,BNA,KBNA,,B8,,2023-10-04 21:57,2023-10-05 02:57,2023-10-04 23:00,2023-10-05 04:00,OO,3716,OO3716,active,178.0,63,83.0,63.0,CRJ9,1696474620.0,1696463940,1696478400.0,1696468920.0,1696468920.0,,,
