,flight_number,airline_iata,dep_time_utc,dep_estimated_utc,arr_time_utc,arr_estimated_utc,dep_country_code,arr_country_code,domestic,international,delayed
50,9780,MH,2023-10-05 01:25,2023-10-05 01:59,2023-10-05 04:25,2023-10-05 05:26,AU,NZ,False,True,34
51,3877,QF,2023-10-05 01:25,2023-10-05 01:59,2023-10-05 04:25,2023-10-05 05:26,AU,NZ,False,True,34
52,800,LA,2023-10-05 01:25,2023-10-05 01:59,2023-10-05 04:25,2023-10-05 05:26,AU,NZ,False,True,34
53,7421,BA,2023-10-05 00:10,2023-10-05 02:21,2023-10-05 03:15,2023-10-05 05:40,AU,NZ,False,True,131
54,1412,TN,2023-10-05 00:10,2023-10-05 02:21,2023-10-05 03:15,2023-10-05 05:40,AU,NZ,False,True,131
55,7575,CZ,2023-10-05 00:10,2023-10-05 02:21,2023-10-05 03:15,2023-10-05 05:40,AU,NZ,False,True,131
56,5037,AS,2023-10-05 00:10,2023-10-05 02:21,2023-10-05 03:15,2023-10-05 05:40,AU,NZ,False,True,131
57,4897,LA,2023-10-05 00:10,2023-10-05 02:21,2023-10-05 03:15,2023-10-05 05:40,AU,NZ,False,True,131
58,5043,EK,2023-10-05 00:10,2023-10-05 02:21,2023-10-05 03:15,2023-10-05 05:40,AU,NZ,False,True,131
59,5039,AY,2023-10-05 00:10,2023-10-05 02:21,2023-10-05 03:15,2023-10-05 05:40,AU,NZ,False,True,131
60,145,QF,2023-10-05 00:10,2023-10-05 02:21,2023-10-05 03:15,2023-10-05 05:40,AU,NZ,False,True,131
61,4327,MU,2023-10-05 00:10,2023-10-05 02:21,2023-10-05 03:15,2023-10-05 05:40,AU,NZ,False,True,131
62,7337,AA,2023-10-05 00:10,2023-10-05 02:21,2023-10-05 03:15,2023-10-05 05:40,AU,NZ,False,True,131
63,2004,,2023-10-05 01:05,2023-10-05 01:37,2023-10-05 02:10,2023-10-05 02:51,AU,AU,True,False,41
64,7419,NZ,2023-10-05 01:05,2023-10-05 01:37,2023-10-05 02:10,2023-10-05 02:51,AU,AU,True,False,41
65,4314,MU,2023-10-05 01:05,2023-10-05 01:37,2023-10-05 02:10,2023-10-05 02:51,AU,AU,True,False,41
66,2004,QF,2023-10-05 01:05,2023-10-05 01:37,2023-10-05 02:10,2023-10-05 02:51,AU,AU,True,False,41
67,301,AI,2023-10-04 23:45,2023-10-05 01:39,2023-10-05 12:35,2023-10-05 14:47,AU,IN,False,True,114
68,1157,ET,2023-10-04 23:45,2023-10-05 01:39,2023-10-05 12:35,2023-10-05 14:47,AU,IN,False,True,114
69,1139,VA,2023-10-04 23:50,2023-10-05 01:40,2023-10-05 01:05,2023-10-05 03:12,AU,AU,True,False,110
70,7429,UA,2023-10-04 23:50,2023-10-05 01:40,2023-10-05 01:05,2023-10-05 03:12,AU,AU,True,False,110
