iata
TBB
BMV
HAN
VII
DAD
VCA
BKK
HPH
HUI
KUL
ICN
FRA
DOH
MNL
DMK
HKG
PVG
VCL
VCS
UIH
SIN
TPE
CXR
DLI
PUS
PXU
PQC
SZX
VKG
DXB
KIX
DIN
NGO
NRT
CNX
VTE
VDH
CGK
RGN
KHH
HND
REP
DPS
CAN
AUH
HGH
BOM
DEL
CDG
PEN
FUK
SYD
YNY
CCU
TAO
AMD
CTU
MEL
IST
GYD
PNH
LHR
LGW
DAC
THD
JHB
RMQ
PKZ
KOS
VDO
HKT
CAH
XMN
KMG
COK
TFU
LBU
BWN
PEK
SFO
TNN
CKG
BNE
BAH
AMM
CJU
DRW
DYG
SPU
MXP
LIS
SAI
UTP
STN
LGG
OKO
EVN
SGN
ANC
BKI
LPQ
MCT
LEJ
CGO
DWC
NKG
RZE
TSN
MFM
KWI
NNG
SZB
MWX
CSX
HYD
LUX
HNL
NGB
UBN
AKL
RUH
ASB
IKT
MAA
UAM
LBJ
LJG
BUD
ZAG
GVA
FCO
BOJ
MUC
HIJ
AMS
KTM
MAD
SSN
VCV
IFN
UTH
CAI
TAE
CJJ
UBP
WUH
SJW
WUX
ALA
TAS
CZX
HFE
KHN
LHW
SHE
NQZ
DLC
XIY
HET
CGQ
TNA
HRB
TYN
WAW
KHI
GMP
GAY
VIE
CEB
